device,activity,time,duration,interaction,add_date
xiaomi_camera,open,12:00,300,app,2020/11/25
xiaomi_camera,detect_mov,12:05,300,app,2020/11/25
360_camera,open,12:10,300,app,2020/11/25
360_camera,change_res,12:15,90,app,2020/11/25
360_camera,detect_mov,12:20,300,app,2020/11/25
xiaomi_gateway,view,2:00,40,app,2020/11/25
aqara_gateway,change_col,2:10,40,app,2020/11/25
skyworth_camera,open,12:25,300,app,2020/11/25
skyworth_camera,detect_mov,12:30,300,app,2020/11/25
tplink_camera,open,11:50,300,app,2020/11/25
tplink_camera,detect_mov,11:55,300,app,2020/11/25
miai_soundbox,play_by_app,14:15,300,app,2020/11/26
honyar_outlet,power,2:20,60,app,2020/11/25
mercury_wirecamera,open,17:50,300,app,2020/11/25
mercury_wirecamera,detect_mov,17:55,300,app,2020/11/25
xiaodu_audio,play_by_app,14:10,240,app,2020/11/25
hichip_battery_camera,open,18:00,300,app,2020/11/25
360_doorbell,open,18:05,300,app,2020/11/25
360_doorbell,detect_mov,18:10,300,app,2020/11/25
ezviz_camera,open,18:15,300,app,2020/11/25
philips_camera,open,17:45,300,app,2020/11/25
